,M,D,O,n,Fvco,Fref,Fout,Fout (MHz),delay,delay (ps)
290,130,1,13,66,1300000000.0,10000000,100000000.0,100.0,3.653846e-09,3653.8459999999995
343,140,1,14,71,1400000000.0,10000000,100000000.0,100.0,3.660714e-09,3660.7139999999995
428,150,1,15,76,1500000000.0,10000000,100000000.0,100.0,3.666667e-09,3666.667
489,160,1,16,81,1600000000.0,10000000,100000000.0,100.0,3.671875e-09,3671.875
6,60,1,6,30,600000000.0,10000000,100000000.0,100.0,3.75e-09,3749.9999999999995
487,160,1,16,79,1600000000.0,10000000,100000000.0,100.0,3.828125e-09,3828.125
426,150,1,15,74,1500000000.0,10000000,100000000.0,100.0,3.833333e-09,3833.3329999999996
341,140,1,14,69,1400000000.0,10000000,100000000.0,100.0,3.839286e-09,3839.2859999999996
288,130,1,13,64,1300000000.0,10000000,100000000.0,100.0,3.846154e-09,3846.1539999999995
215,120,1,12,59,1200000000.0,10000000,100000000.0,100.0,3.854167e-09,3854.167
170,110,1,11,54,1100000000.0,10000000,100000000.0,100.0,3.863636e-09,3863.636
