,M,D,O,n,Fvco,Fpfd,Fref,Fout,Fout (MHz),delay,delay (ps),stability metric
406,140,1,14,62,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,4.464285714285715e-09,4464.285714285715,0.9252097602739726
507,150,1,15,66,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,4.500000000000001e-09,4500.000000000001,0.988145874103066
579,160,1,16,70,1600000000.0,62500.0,10000000,100000000.0,100.0,4.5312500000000005e-09,4531.250000000001,1.0512720920988259
405,140,1,14,61,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,4.5535714285714285e-09,4553.571428571428,0.9252097602739726
506,150,1,15,65,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,4.583333333333334e-09,4583.333333333334,0.988145874103066
578,160,1,16,69,1600000000.0,62500.0,10000000,100000000.0,100.0,4.6093750000000005e-09,4609.375000000001,1.0512720920988259
153,100,1,10,43,1000000000.0,100000.0,10000000,100000000.0,100.0,4.625e-09,4625.0,0.6765069716242661
404,140,1,14,60,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,4.642857142857143e-09,4642.857142857143,0.9252097602739726
505,150,1,15,64,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,4.666666666666667e-09,4666.666666666667,0.988145874103066
577,160,1,16,68,1600000000.0,62500.0,10000000,100000000.0,100.0,4.687500000000001e-09,4687.500000000001,1.0512720920988259
340,130,1,13,55,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,4.711538461538462e-09,4711.538461538462,0.8625076208038536
403,140,1,14,59,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,4.7321428571428574e-09,4732.142857142858,0.9252097602739726
504,150,1,15,63,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,4.75e-09,4750.0,0.988145874103066
576,160,1,16,67,1600000000.0,62500.0,10000000,100000000.0,100.0,4.765625e-09,4765.625,1.0512720920988259
253,120,1,12,50,1200000000.0,83333.33333333333,10000000,100000000.0,100.0,4.7916666666666666e-09,4791.666666666667,0.8000979492824527
339,130,1,13,54,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,4.807692307692308e-09,4807.692307692308,0.8625076208038536
503,150,1,15,62,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,4.833333333333334e-09,4833.333333333334,0.988145874103066
575,160,1,16,66,1600000000.0,62500.0,10000000,100000000.0,100.0,4.84375e-09,4843.75,1.0512720920988259
151,100,1,10,41,1000000000.0,100000.0,10000000,100000000.0,100.0,4.875e-09,4875.0,0.6765069716242661
252,120,1,12,49,1200000000.0,83333.33333333333,10000000,100000000.0,100.0,4.895833333333333e-09,4895.833333333333,0.8000979492824527
502,150,1,15,61,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,4.916666666666667e-09,4916.666666666667,0.988145874103066
