,theta mu rise,theta var rise,theta mu fall,theta var fall,theta delay (ps),m,n,c,ps_bumps
87,128.0,0.0,128.0,0.0,3375.0,20,1,10,53
88,128.0,0.0,128.0,0.0,3392.857,14,1,7,37
89,128.0,0.0,128.0,0.0,3409.091000000001,22,1,11,58
90,128.0,0.0,128.0,0.0,3416.667,30,1,15,79
91,128.0,0.0,128.0,0.0,3437.5000000000005,16,1,8,42
92,128.0,0.0,128.0,0.0,3461.538,26,1,13,68
93,128.0,0.0,128.0,0.0,3472.222000000001,18,1,9,47
94,128.0,0.0,128.0,0.0,3482.143,28,1,14,73
95,128.0,0.0,128.0,0.0,3500.0,20,1,10,52
96,128.0,0.0,128.0,0.0,3515.625,32,1,16,83
97,128.0,0.0,128.0,0.0,3522.7270000000008,22,1,11,57
98,128.0,0.0,128.0,0.0,3541.6670000000013,12,1,6,31
99,128.0,0.0,128.0,0.0,3557.6920000000005,26,1,13,67
100,128.0,0.0,128.0,0.0,3571.429,14,1,7,36
101,128.0,0.0,128.0,0.0,3583.3330000000005,30,1,15,77
102,128.0,0.0,128.0,0.0,3593.7499999999995,16,1,8,41
103,128.0,0.0,128.0,0.0,3611.111,18,1,9,46
104,128.0,0.0,128.0,0.0,3625.0000000000014,20,1,10,51
105,128.0,0.0,128.0,0.0,3636.364,22,1,11,56
106,128.0,0.0,128.0,0.0,3645.8330000000014,24,1,12,61
107,128.0,0.0,128.0,0.0,3653.846,26,1,13,66
108,128.0,0.0,128.0,0.0,3660.714,28,1,14,71
109,128.0,0.0,128.0,0.0,3666.667,30,1,15,76
110,128.0,0.0,128.0,0.0,3671.875,32,1,16,81
111,128.0,0.0,128.0,0.0,3750.0,12,1,6,30
112,128.0,0.0,128.0,0.0,3828.125,32,1,16,79
113,128.0,0.0,128.0,0.0,3833.333,30,1,15,74
114,128.0,0.0,128.0,0.0,3839.286,28,1,14,69
115,128.0,0.0,128.0,0.0,3846.154,26,1,13,64
116,128.0,0.0,128.0,0.0,3854.167,24,1,12,59
117,128.0,0.0,128.0,0.0,3863.636,22,1,11,54
118,128.0,0.0,128.0,0.0,3875.0,20,1,10,49
119,128.0,0.0,128.0,0.0,3888.889000000001,18,1,9,44
120,128.0,0.0,128.0,0.0,3906.25,16,1,8,39
121,128.0,0.0,128.0,0.0,3916.667,30,1,15,73
122,128.0,0.0,128.0,0.0,3928.571,14,1,7,34
123,128.0,0.0,128.0,0.0,3942.308,26,1,13,63
124,128.0,0.0,128.0,0.0,3958.333,12,1,6,29
125,128.0,0.0,128.0,0.0,3977.2729999999997,22,1,11,53
126,128.0,0.0,128.0,0.0,3984.375,32,1,16,77
127,128.0,0.0,128.0,0.0,4000.0000000000014,20,1,10,48
128,128.0,0.0,128.0,0.0,4017.857,28,1,14,67
129,128.0,0.0,128.0,0.0,4027.778,18,1,9,43
130,128.0,0.0,128.0,0.0,4038.462,26,1,13,62
131,128.0,0.0,128.0,0.0,4062.5000000000014,16,1,8,38
132,128.0,0.0,128.0,0.0,4083.333,30,1,15,71
133,128.0,0.0,128.0,0.0,4090.909000000001,22,1,11,52
134,128.0,0.0,128.0,0.0,4107.143,14,1,7,33
135,128.0,0.0,128.0,0.0,4125.0,20,1,10,47
136,128.0,0.0,128.0,0.0,4134.615,26,1,13,61
137,128.0,0.0,128.0,0.0,4140.625,32,1,16,75
138,128.0,0.0,128.0,0.0,4166.667,12,1,6,28
139,128.0,0.0,128.0,0.0,4196.429,28,1,14,65
140,128.0,0.0,128.0,0.0,4204.545,22,1,11,51
141,128.0,0.0,128.0,0.0,4218.75,16,1,8,37
142,128.0,0.0,128.0,0.0,4230.769,26,1,13,60
143,128.0,0.0,128.0,0.0,4250.0,20,1,10,46
144,128.0,0.0,128.0,0.0,4270.833000000001,24,1,12,55
145,128.0,0.0,128.0,0.0,4285.714,14,1,7,32
146,128.0,0.0,128.0,0.0,4296.875,32,1,16,73
147,128.0,0.0,128.0,0.0,4305.556,18,1,9,41
148,128.0,0.0,128.0,0.0,4318.182000000002,22,1,11,50
149,128.0,0.0,128.0,0.0,4326.923,26,1,13,59
150,128.0,0.0,128.0,0.0,4333.333000000001,30,1,15,68
151,128.0,0.0,128.0,0.0,4375.0,12,1,6,27
152,128.0,0.0,128.0,0.0,4416.667,30,1,15,67
153,128.0,0.0,128.0,0.0,4423.077,26,1,13,58
154,128.0,0.0,128.0,0.0,4431.818,22,1,11,49
155,128.0,0.0,128.0,0.0,4444.444,18,1,9,40
156,128.0,0.0,128.0,0.0,4453.125000000001,32,1,16,71
157,128.0,0.0,128.0,0.0,4464.286,14,1,7,31
158,128.0,0.0,128.0,0.0,4479.167,24,1,12,53
