,theta mu pop rise,theta var pop rise,theta mu pop fall,theta var pop fall,theta mu first rise,theta var first rise,theta mu first fall,theta var first fall,theta mu last rise,theta var last rise,theta mu last fall,theta var last fall,theta delay (ps),m,n,c,ps_bumps
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2109.3750000000064,64,2,16,997
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2115.3846153846225,52,2,13,810
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2125.000000000001,40,2,10,623
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2142.8571428571413,56,2,14,872
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2159.090909090917,44,2,11,685
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2166.666666666666,60,2,15,934
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2187.500000000005,64,2,16,996
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2211.538461538458,52,2,13,809
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2222.22222222222,36,2,9,560
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2232.1428571428564,56,2,14,871
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2249.999999999997,60,2,15,933
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2265.625000000005,64,2,16,995
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2272.7272727272707,44,2,11,684
13,0.0,0.0,0.01025390625,0.010148763656616211,0.0,0.0,0.01025390625,0.010148763656616211,0.0,0.0,0.01025390625,0.010148763656616211,2291.6666666666624,48,2,12,746
14,0.0,0.0,0.08642578125,0.07895636558532715,0.0,0.0,0.08642578125,0.07895636558532715,0.0,0.0,0.08642578125,0.07895636558532715,2307.692307692306,52,2,13,808
15,0.0,0.0,0.431884765625,0.24536031484603882,0.0,0.0,0.431884765625,0.24536031484603882,0.0,0.0,0.431884765625,0.24536031484603882,2321.428571428572,56,2,14,870
16,0.0,0.0,0.797607421875,0.16484779119491577,0.0,0.0,0.797607421875,0.16484779119491577,0.0,0.0,0.797607421875,0.16484779119491577,2333.333333333341,60,2,15,932
17,0.0,0.0,1.09033203125,0.08607840538024902,0.0,0.0,1.09033203125,0.08607840538024902,0.0,0.0,1.09033203125,0.08607840538024902,2343.750000000004,64,2,16,994
18,0.0,0.0,1.107177734375,0.09617894887924194,0.0,0.0,1.107177734375,0.09617894887924194,0.0,0.0,1.107177734375,0.09617894887924194,2361.1111111111177,36,2,9,559
19,0.0,0.0,1.66748046875,0.22195029258728027,0.0,0.0,1.66748046875,0.22195029258728027,0.0,0.0,1.66748046875,0.22195029258728027,2375.0000000000064,40,2,10,621
20,0.0,0.0,1.944091796875,0.05278247594833374,0.0,0.0,1.944091796875,0.05278247594833374,0.0,0.0,1.944091796875,0.05278247594833374,2386.3636363636365,44,2,11,683
21,0.0,0.0,1.99951171875,0.00048804283142089844,0.0,0.0,1.99951171875,0.00048804283142089844,0.0,0.0,1.99951171875,0.00048804283142089844,2395.833333333333,48,2,12,745
22,0.0,0.0,1.998291015625,0.0017060637474060059,0.0,0.0,1.998291015625,0.0017060637474060059,0.0,0.0,1.998291015625,0.0017060637474060059,2403.8461538461543,52,2,13,807
23,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2416.666666666672,60,2,15,931
24,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2421.875000000003,64,2,16,993
25,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2500.000000000003,64,2,16,992
26,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2578.1250000000023,64,2,16,991
27,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2583.333333333333,60,2,15,929
28,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2596.153846153851,52,2,13,805
29,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2604.166666666673,48,2,12,743
30,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2613.636363636369,44,2,11,681
31,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2624.9999999999986,40,2,10,619
32,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2638.888888888888,36,2,9,557
33,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2656.250000000001,64,2,16,990
34,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2666.6666666666642,60,2,15,928
35,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2678.571428571433,56,2,14,866
36,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2692.307692307699,52,2,13,804
37,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2708.333333333329,48,2,12,742
38,0.10400390625,0.09318709373474121,2.0,0.0,0.10400390625,0.09318709373474121,2.0,0.0,0.10400390625,0.09318709373474121,2.0,0.0,2727.272727272735,44,2,11,680
39,0.128662109375,0.11210817098617554,2.0,0.0,0.128662109375,0.11210817098617554,2.0,0.0,0.128662109375,0.11210817098617554,2.0,0.0,2734.3750000000005,64,2,16,989
40,0.390869140625,0.270805299282074,2.0,0.0,0.390869140625,0.270805299282074,2.0,0.0,0.390869140625,0.270805299282074,2.0,0.0,2750.0000000000077,60,2,15,927
41,1.530029296875,0.2676529288291931,2.052490234375,0.05559438467025757,1.530029296875,0.2676529288291931,2.0498046875,0.047324180603027344,1.530029296875,0.2676529288291931,2.05517578125,0.07019782066345215,2767.857142857149,56,2,14,865
42,1.720458984375,0.2013978362083435,2.204345703125,0.33885806798934937,1.720458984375,0.2013978362083435,2.138427734375,0.11926549673080444,1.720458984375,0.2013978362083435,2.27001953125,0.7674214839935303,2777.777777777785,36,2,9,556
43,1.9423828125,0.054297447204589844,2.48779296875,0.8919408321380615,1.9423828125,0.054297447204589844,2.272216796875,0.198114812374115,1.9423828125,0.054297447204589844,2.695556640625,2.2552146315574646,2788.461538461534,52,2,13,803
44,2.0,0.0,4.18017578125,2.747321844100952,2.0,0.0,2.924072265625,0.5784634947776794,2.0,0.0,5.205322265625,6.045000970363617,2812.4999999999995,64,2,16,988
45,2.0,0.0,5.607177734375,2.208239495754242,2.0,0.0,3.631103515625,1.2323235869407654,2.0,0.0,6.9345703125,3.5118322372436523,2833.3333333333394,60,2,15,926
46,2.0,0.0,5.652587890625,2.220369279384613,2.0,0.0,3.667236328125,1.2986921668052673,2.0,0.0,6.977294921875,3.4479708075523376,2840.9090909090883,44,2,11,679
47,2.0,0.0,7.21875,1.2958984375,2.0,0.0,5.1982421875,4.333746910095215,2.0,0.0,8.318359375,0.2824363708496094,2857.1428571428637,56,2,14,864
48,2.04052734375,0.038884878158569336,8.429443359375,0.9300803542137146,2.04052734375,0.038884878158569336,7.6025390625,4.075911521911621,2.04052734375,0.038884878158569336,8.799560546875,0.2784275412559509,2875.000000000004,40,2,10,617
49,2.226806640625,0.1753653883934021,9.1591796875,0.28276729583740234,2.226806640625,0.1753653883934021,8.955078125,1.3300132751464844,2.226806640625,0.1753653883934021,9.228515625,0.18459701538085938,2884.6153846153825,52,2,13,802
50,2.204345703125,0.16258853673934937,9.06982421875,0.37891364097595215,2.204345703125,0.16258853673934937,8.766357421875,1.8943857550621033,2.204345703125,0.16258853673934937,9.178955078125,0.19478172063827515,2890.6249999999986,64,2,16,987
51,2.767333984375,0.30548566579818726,9.7421875,0.38421630859375,2.70751953125,0.21425986289978027,9.645751953125,0.2287563681602478,2.8271484375,0.5091848373413086,9.93505859375,1.2179505825042725,2916.6666666666692,60,2,15,925
52,3.832275390625,1.1146907210350037,10.596435546875,0.4667744040489197,3.40283203125,0.643390417098999,10.071533203125,0.07618182897567749,4.26171875,2.0760345458984375,11.5380859375,2.331557273864746,2946.4285714285797,56,2,14,863
53,4.701416015625,1.7314042448997498,10.989990234375,0.8199681639671326,4.0302734375,1.0049428939819336,10.188720703125,0.15359348058700562,5.37255859375,3.0574891567230225,12.218505859375,2.3509368300437927,2954.545454545454,44,2,11,678
54,6.014404296875,1.4844116568565369,12.021240234375,1.578406274318695,4.958984375,1.5002708435058594,10.590087890625,0.49090760946273804,7.06982421875,2.101569890975952,13.615966796875,2.2302040457725525,2968.749999999998,64,2,16,986
55,6.896484375,1.1172142028808594,13.1171875,3.28997802734375,5.71142578125,2.096412420272827,11.154052734375,1.8485822081565857,8.08154296875,1.0578038692474365,15.07568359375,6.656869649887085,2980.769230769231,52,2,13,801
56,8.311279296875,0.9541305899620056,15.257080078125,4.609935224056244,7.6875,3.27197265625,12.638427734375,3.8704861998558044,8.93505859375,0.14177870750427246,17.89111328125,12.070663213729858,3000.0000000000005,60,2,15,924
57,8.95361328125,0.3362271785736084,17.197509765625,5.691702783107758,8.79345703125,0.9695470333099365,13.861328125,3.5315513610839844,9.11376953125,0.10082602500915527,21.196044921875,13.176165997982025,3020.83333333334,48,2,12,739
58,9.393798828125,0.2387213110923767,19.271484375,8.04299545288086,9.393798828125,0.2387213110923767,15.177734375,2.7105979919433594,9.393798828125,0.2387213110923767,23.74853515625,19.017820119857788,3035.7142857142812,56,2,14,862
59,9.6142578125,0.23743343353271484,20.757568359375,9.68951791524887,9.6142578125,0.23743343353271484,15.755859375,2.7880516052246094,9.6142578125,0.23743343353271484,26.023193359375,22.008495271205902,3046.874999999997,64,2,16,985
60,9.88037109375,0.1702592372894287,22.85205078125,13.197349309921265,9.8798828125,0.16867733001708984,16.66796875,3.8897552490234375,9.880859375,0.17281723022460938,29.081298828125,27.8412908911705,3055.5555555555543,36,2,9,554
61,10.056640625,0.12472152709960938,24.403076171875,14.663457334041595,10.053955078125,0.11696189641952515,17.341796875,3.8831748962402344,10.059326171875,0.13783782720565796,30.803955078125,28.762591779232025,3068.1818181818207,44,2,11,677
62,10.12646484375,0.17394804954528809,24.951904296875,13.783575475215912,10.107421875,0.12127304077148438,17.4921875,3.75775146484375,10.1455078125,0.26398372650146484,31.34228515625,27.767118215560913,3076.9230769230794,52,2,13,800
63,10.319580078125,0.3746752142906189,27.06640625,13.105941772460938,10.241943359375,0.1853598952293396,18.19580078125,3.2585370540618896,10.397216796875,0.707209050655365,34.427490234375,20.335562646389008,3083.333333333331,60,2,15,923
64,12.0126953125,1.0550146102905273,33.994140625,13.62057113647461,10.96337890625,0.03527998924255371,21.9208984375,15.439055442810059,12.812744140625,2.2767028212547302,43.0380859375,28.218276023864746,3124.999999999997,64,2,16,984
65,15.4208984375,1.6490163803100586,45.171630859375,23.9175643324852,12.61083984375,3.8749215602874756,31.52587890625,26.079896688461304,17.295166015625,4.045933663845062,53.448974609375,3.855794847011566,3166.666666666662,60,2,15,922
66,14.831298828125,1.6055731177330017,44.11279296875,24.66501212120056,11.9404296875,2.8773107528686523,30.49072265625,20.960363149642944,16.595458984375,3.6446961760520935,52.81640625,7.7324066162109375,3173.0769230769274,52,2,13,799
67,16.526611328125,3.0505613684654236,47.943115234375,20.12640279531479,13.81201171875,4.111144781112671,35.1396484375,38.01956081390381,19.02001953125,8.24227499961853,54.32177734375,2.3100335597991943,3181.8181818181865,44,2,11,676
68,17.7236328125,5.19998836517334,50.416259765625,12.86749929189682,14.75732421875,3.465522527694702,37.7822265625,43.700621604919434,20.86962890625,11.905854940414429,55.316650390625,5.241773545742035,3194.444444444452,36,2,9,553
69,17.327880859375,4.5890273451805115,49.256591796875,16.88460010290146,14.3828125,3.90032958984375,36.7041015625,41.53939723968506,20.38037109375,10.724458456039429,54.77734375,3.5749359130859375,3203.124999999996,64,2,16,983
70,20.32568359375,6.995980978012085,54.16748046875,10.71267294883728,16.458984375,2.1721458435058594,44.328125,18.335693359375,24.7734375,14.38031005859375,57.98486328125,12.805923223495483,3214.2857142857124,56,2,14,860
71,22.373779296875,6.909361302852631,56.395751953125,12.370968282222748,17.31884765625,2.600484609603882,46.67431640625,20.246469259262085,27.88623046875,18.733150243759155,60.85888671875,21.26036047935486,3229.166666666666,48,2,12,737
72,25.034423828125,7.5303091406822205,59.425537109375,13.57404512166977,18.5185546875,1.2291479110717773,49.9287109375,19.14335536956787,32.0859375,28.95355224609375,64.74609375,29.854476928710938,3250.000000000006,60,2,15,921
73,27.874755859375,7.361511170864105,62.479736328125,12.833573758602142,19.986328125,6.269344329833984,53.48974609375,24.785539388656616,37.45068359375,20.211923360824585,68.906005859375,21.055862367153168,3269.230769230776,52,2,13,798
74,30.177978515625,8.266907632350922,64.82080078125,11.95763373374939,21.96435546875,15.045604467391968,56.14208984375,22.7317636013031,39.5380859375,9.919447898864746,71.63037109375,16.59774947166443,3281.2500000000077,64,2,16,982
75,33.3212890625,13.344527244567871,67.666015625,8.01589584350586,25.09716796875,18.284503698349,59.707763671875,9.271287381649017,41.97412109375,8.809877157211304,75.0126953125,13.279135704040527,3295.4545454545528,44,2,11,675
76,33.953857421875,14.369697034358978,67.8466796875,7.926688194274902,25.6142578125,17.931281089782715,59.781005859375,8.788223206996918,42.1943359375,10.522780418395996,75.25830078125,13.26238226890564,3303.571428571427,56,2,14,859
77,38.442138671875,14.184152066707611,71.606689453125,19.07650798559189,28.59130859375,2.1269166469573975,63.290283203125,18.28902667760849,46.33984375,28.722396850585938,80.234375,34.228271484375,3333.3333333333367,60,2,15,920
78,43.46435546875,10.704295873641968,77.85693359375,25.48343825340271,30.53515625,12.795639038085938,69.328857421875,28.28076881170273,52.2265625,10.42132568359375,88.052001953125,32.704082906246185,3359.3750000000077,64,2,16,981
