,theta mu pop rise,theta var pop rise,theta mu pop fall,theta var pop fall,theta mu first rise,theta var first rise,theta mu first fall,theta var first fall,theta mu last rise,theta var last rise,theta mu last fall,theta var last fall,theta delay (ps),m,n,c,ps_bumps
0,0.0,0.0,0.0009765625,0.0009756088256835938,0.0,0.0,0.0009765625,0.0009756088256835938,0.0,0.0,0.0009765625,0.0009756088256835938,2307.692,26,1,13,80
1,0.0,0.0,0.1220703125,0.10716915130615234,0.0,0.0,0.1220703125,0.10716915130615234,0.0,0.0,0.1220703125,0.10716915130615234,2321.429,14,1,7,43
2,0.0,0.0,0.197265625,0.15835189819335938,0.0,0.0,0.197265625,0.15835189819335938,0.0,0.0,0.197265625,0.15835189819335938,2333.333,30,1,15,92
3,0.0,0.0,0.3935546875,0.23866939544677734,0.0,0.0,0.3935546875,0.23866939544677734,0.0,0.0,0.3935546875,0.23866939544677734,2343.75,16,1,8,49
4,0.0,0.0,0.6728515625,0.2201223373413086,0.0,0.0,0.6728515625,0.2201223373413086,0.0,0.0,0.6728515625,0.2201223373413086,2361.111,18,1,9,55
5,0.0,0.0,1.142578125,0.13201522827148438,0.0,0.0,1.142578125,0.13201522827148438,0.0,0.0,1.142578125,0.13201522827148438,2375.0,20,1,10,61
6,0.0,0.0,1.4423828125,0.24668025970458984,0.0,0.0,1.4423828125,0.24668025970458984,0.0,0.0,1.4423828125,0.24668025970458984,2386.364,22,1,11,67
7,0.0,0.0,1.630859375,0.23287582397460938,0.0,0.0,1.630859375,0.23287582397460938,0.0,0.0,1.630859375,0.23287582397460938,2395.833,24,1,12,73
8,0.0,0.0,1.8125,0.15234375,0.0,0.0,1.8125,0.15234375,0.0,0.0,1.8125,0.15234375,2403.846,26,1,13,79
9,0.0,0.0,1.8271484375,0.1429738998413086,0.0,0.0,1.8271484375,0.1429738998413086,0.0,0.0,1.8271484375,0.1429738998413086,2410.714,28,1,14,85
10,0.0,0.0,1.982421875,0.017269134521484375,0.0,0.0,1.982421875,0.017269134521484375,0.0,0.0,1.982421875,0.017269134521484375,2416.667,30,1,15,91
11,0.0,0.0,1.9990234375,0.0009756088256835938,0.0,0.0,1.9990234375,0.0009756088256835938,0.0,0.0,1.9990234375,0.0009756088256835938,2421.875,32,1,16,97
12,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2500.0,12,1,6,36
13,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2578.125,32,1,16,95
14,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2583.333,30,1,15,89
15,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2589.286,28,1,14,83
16,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2596.154,26,1,13,77
17,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2604.167,24,1,12,71
18,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2613.636,22,1,11,65
19,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2625.0,20,1,10,59
20,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2638.889,18,1,9,53
21,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2656.25,16,1,8,47
22,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2666.667000000001,30,1,15,88
23,0.0009765625,0.0009756088256835938,2.0,0.0,0.0009765625,0.0009756088256835938,2.0,0.0,0.0009765625,0.0009756088256835938,2.0,0.0,2678.571000000001,14,1,7,41
24,0.09765625,0.0881195068359375,2.0,0.0,0.09765625,0.0881195068359375,2.0,0.0,0.09765625,0.0881195068359375,2.0,0.0,2692.308,26,1,13,76
25,0.697265625,0.4356956481933594,2.0,0.0,0.697265625,0.4356956481933594,2.0,0.0,0.697265625,0.4356956481933594,2.0,0.0,2708.333,12,1,6,35
26,0.79296875,0.4200286865234375,2.0,0.0,0.79296875,0.4200286865234375,2.0,0.0,0.79296875,0.4200286865234375,2.0,0.0,2727.2729999999997,22,1,11,64
27,1.45703125,0.3770599365234375,2.0,0.0,1.45703125,0.3770599365234375,2.0,0.0,1.45703125,0.3770599365234375,2.0,0.0,2734.375,32,1,16,93
28,1.904296875,0.08654403686523438,2.0,0.0,1.904296875,0.08654403686523438,2.0,0.0,1.904296875,0.08654403686523438,2.0,0.0,2750.0,20,1,10,58
29,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2767.857,28,1,14,81
30,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2777.778,18,1,9,52
31,2.0,0.0,2.0146484375,0.014433860778808594,2.0,0.0,2.0146484375,0.014433860778808594,2.0,0.0,2.0146484375,0.014433860778808594,2788.462,26,1,13,75
32,2.0,0.0,2.185546875,0.2683067321777344,2.0,0.0,2.1416015625,0.1215505599975586,2.0,0.0,2.2294921875,0.5576848983764648,2812.5,16,1,8,46
33,2.0,0.0,3.884765625,2.5980491638183594,2.0,0.0,2.80859375,0.4653167724609375,2.0,0.0,4.775390625,5.996425628662109,2833.333,30,1,15,86
34,2.0,0.0,3.513671875,2.3357505798339844,2.0,0.0,2.6904296875,0.38365840911865234,2.0,0.0,4.19921875,5.5540618896484375,2840.909,22,1,11,63
35,2.1923828125,0.15537166595458984,6.1494140625,2.136855125427246,2.1923828125,0.15537166595458984,4.142578125,2.9249839782714844,2.1923828125,0.15537166595458984,7.474609375,2.0774803161621094,2857.143,14,1,7,40
36,2.5576171875,0.26621150970458984,6.7783203125,1.6959753036499023,2.5478515625,0.2477102279663086,4.81640625,3.9428558349609375,2.5673828125,0.30405330657958984,8.0029296875,0.5732336044311523,2875.0,20,1,10,57
37,2.8095703125,0.27135372161865234,7.69140625,1.3520355224609375,2.75390625,0.1913909912109375,6.091796875,5.343135833740234,2.865234375,0.4564476013183594,8.5087890625,0.2753133773803711,2884.615,26,1,13,74
38,2.8349609375,0.3331136703491211,7.8251953125,1.4176855087280273,2.7490234375,0.2114248275756836,6.3544921875,5.892889976501465,2.9208984375,0.6119070053100586,8.5830078125,0.25678157806396484,2890.625,32,1,16,91
39,4.9189453125,1.9182348251342773,9.337890625,0.3096580505371094,4.091796875,1.0150108337402344,9.2421875,0.76947021484375,5.74609375,3.4355316162109375,9.38671875,0.3582611083984375,2916.667,12,1,6,34
40,6.03125,1.7275390625,9.9091796875,0.42436885833740234,4.939453125,1.9299278259277344,9.73828125,0.1932220458984375,7.123046875,2.0043907165527344,10.2509765625,1.7368154525756836,2946.429,28,1,14,79
41,6.939453125,1.2834434509277344,10.0615234375,0.4678945541381836,5.787109375,2.2828025817871094,9.82421875,0.1741790771484375,8.091796875,1.2337608337402344,10.521484375,2.0542259216308594,2954.545,22,1,11,62
42,8.2197265625,1.2124624252319336,11.0302734375,0.9238882064819336,7.630859375,3.3188133239746094,10.1953125,0.15716552734375,8.80859375,0.3871917724609375,12.2724609375,2.516585350036621,2968.75,16,1,8,45
43,8.2568359375,1.153761863708496,11.212890625,1.1167869567871094,7.6689453125,3.2839574813842773,10.2724609375,0.2177572250366211,8.8447265625,0.3362417221069336,12.5341796875,2.6960973739624023,2980.7690000000002,26,1,13,73
44,9.3505859375,0.2315816879272461,12.919921875,3.6537437438964844,9.3486328125,0.23880672454833984,11.087890625,1.7989158630371094,9.3525390625,0.2282552719116211,14.8583984375,8.068816184997559,3000.0,20,1,10,56
45,9.7861328125,0.19547176361083984,15.5322265625,6.243102073669434,9.7861328125,0.19547176361083984,12.7294921875,3.931708335876465,9.7861328125,0.19547176361083984,18.759765625,16.84267807006836,3020.833,24,1,12,67
46,9.890625,0.197021484375,16.2041015625,6.732756614685059,9.890625,0.197021484375,13.109375,3.988037109375,9.890625,0.197021484375,19.7890625,18.01409912109375,3035.7140000000004,14,1,7,39
47,10.3173828125,0.37290096282958984,18.41796875,10.192489624023438,10.2392578125,0.18201351165771484,14.3125,4.02734375,10.3955078125,0.7078313827514648,23.322265625,21.72231674194336,3046.8750000000005,32,1,16,89
48,10.2861328125,0.30972957611083984,18.6650390625,8.254012107849121,10.2333984375,0.1789236068725586,14.4921875,2.96087646484375,10.3388671875,0.5404424667358398,23.7626953125,19.804038047790527,3055.5559999999996,18,1,9,50
49,10.708984375,0.6028099060058594,20.1689453125,10.491965293884277,10.5107421875,0.24988460540771484,15.22265625,2.8097991943359375,10.9072265625,1.2736196517944336,25.6337890625,21.17741298675537,3068.1820000000002,22,1,11,61
50,11.4951171875,1.0097417831420898,23.287109375,16.01131820678711,10.7880859375,0.1670064926147461,16.48828125,3.7381439208984375,12.0830078125,2.191351890563965,29.775390625,24.92025375366211,3076.923,26,1,13,72
51,11.8544921875,1.1594915390014648,24.9189453125,16.896750450134277,10.8955078125,0.09357357025146484,17.234375,3.945068359375,12.6044921875,2.451972007751465,31.29296875,23.668075561523438,3083.333,30,1,15,83
52,14.078125,2.050537109375,29.837890625,11.24715805053711,11.3125,1.15234375,18.958984375,4.127223968505859,15.6904296875,4.172720909118652,36.5185546875,14.118796348571777,3125.0,12,1,6,33
53,17.9521484375,5.170561790466309,38.083984375,17.67458724975586,14.544921875,3.4921226501464844,26.181640625,23.66231918334961,21.896484375,11.95803451538086,47.0185546875,31.246726036071777,3166.667,30,1,15,82
54,17.5322265625,4.733336448669434,37.564453125,16.392330169677734,14.19921875,4.0931243896484375,25.68359375,23.985824584960938,21.203125,10.919677734375,46.2626953125,30.322592735290527,3173.077,26,1,13,71
55,19.802734375,6.785305023193359,40.6474609375,24.59153652191162,15.6171875,3.29095458984375,28.7578125,30.01165771484375,24.572265625,14.64907455444336,49.76171875,26.755722045898438,3181.818,22,1,11,60
56,21.92578125,6.9398040771484375,44.9130859375,23.444594383239746,16.888671875,2.3118247985839844,32.986328125,31.386531829833984,27.353515625,14.10549545288086,52.5068359375,10.304640769958496,3194.4440000000004,18,1,9,49
57,21.244140625,7.247035980224609,42.15234375,25.906478881835938,16.533203125,2.2235069274902344,29.794921875,30.778255462646484,26.47265625,14.737533569335938,50.8916015625,20.58297634124756,3203.125,32,1,16,87
58,23.6513671875,7.13529109954834,47.9580078125,20.051947593688965,17.6953125,2.45404052734375,37.029296875,37.221797943115234,30.009765625,16.10146713256836,54.1689453125,1.8337621688842773,3214.2859999999996,14,1,7,38
59,28.0634765625,8.926634788513184,52.8408203125,8.768607139587402,19.947265625,7.825344085693359,43.625,17.7265625,36.423828125,19.078182220458984,56.4814453125,5.972311973571777,3229.167,24,1,12,65
60,30.9921875,11.16204833984375,55.478515625,8.98391342163086,22.52734375,18.339096069335938,47.08203125,12.118270874023438,39.158203125,11.611690521240234,58.7177734375,12.499449729919434,3250.0,20,1,10,54
61,33.5205078125,11.636298179626465,57.458984375,8.82839584350586,25.263671875,19.418758392333984,49.111328125,14.210262298583984,41.1484375,4.88421630859375,61.26953125,19.599227905273438,3269.2309999999998,26,1,13,70
62,36.0029296875,12.049796104431152,59.3828125,11.26165771484375,27.38671875,11.741073608398438,50.80859375,20.393051147460938,42.56640625,13.421371459960938,63.84375,25.8388671875,3281.25,16,1,8,43
63,36.8818359375,11.526076316833496,59.4521484375,11.232085227966309,27.939453125,7.879146575927734,50.90234375,20.763900756835938,43.275390625,17.59994125366211,64.0927734375,28.045104026794434,3295.455000000001,22,1,11,59
64,39.0341796875,10.210745811462402,61.9541015625,14.557463645935059,29.171875,3.642333984375,53.8935546875,25.128317832946777,45.7265625,27.58148193359375,68.3486328125,43.76615047454834,3303.571,28,1,14,75
65,46.134765625,10.80801010131836,69.2275390625,16.29685878753662,35.541015625,26.05495834350586,60.5498046875,8.448691368103027,53.58984375,3.1833343505859375,81.75,57.421875,3333.333,12,1,6,32
66,46.890625,10.390380859375,71.2099609375,19.18540859222412,36.431640625,25.34493637084961,61.845703125,11.776973724365234,53.9765625,2.10882568359375,85.2666015625,52.50021266937256,3359.375,32,1,16,85
67,49.1455078125,9.979804039001465,73.7587890625,25.17326259613037,39.423828125,24.433650970458984,63.6279296875,13.450430870056152,54.84765625,1.2580413818359375,89.298828125,29.322811126708984,3365.385,26,1,13,69
68,49.74609375,10.552719116210938,75.2978515625,29.88882350921631,40.130859375,25.45162582397461,64.5205078125,14.435126304626465,55.068359375,1.9211082458496094,90.4462890625,22.25297451019287,3375.0,20,1,10,53
