,theta mu pop rise,theta var pop rise,theta mu pop fall,theta var pop fall,theta mu first rise,theta var first rise,theta mu first fall,theta var first fall,theta mu last rise,theta var last rise,theta mu last fall,theta var last fall,theta delay (ps),m,n,c,ps_bumps
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2307.692307692308,130,1,13,80
1,0.0,0.0,0.0263671875,0.025671958923339844,0.0,0.0,0.0263671875,0.025671958923339844,0.0,0.0,0.0263671875,0.025671958923339844,2333.333333333333,150,1,15,92
2,0.0,0.0,0.2587890625,0.1918172836303711,0.0,0.0,0.2587890625,0.1918172836303711,0.0,0.0,0.2587890625,0.1918172836303711,2343.750000000001,160,1,16,98
3,0.0,0.0,1.22265625,0.1730804443359375,0.0,0.0,1.22265625,0.1730804443359375,0.0,0.0,1.22265625,0.1730804443359375,2375.0,100,1,10,61
4,0.0,0.0,1.34765625,0.2267913818359375,0.0,0.0,1.34765625,0.2267913818359375,0.0,0.0,1.34765625,0.2267913818359375,2395.833333333334,120,1,12,73
5,0.0,0.0,1.880859375,0.10494613647460938,0.0,0.0,1.880859375,0.10494613647460938,0.0,0.0,1.880859375,0.10494613647460938,2416.666666666667,150,1,15,91
6,0.0,0.0,1.9990234375,0.0009756088256835938,0.0,0.0,1.9990234375,0.0009756088256835938,0.0,0.0,1.9990234375,0.0009756088256835938,2421.875,160,1,16,97
7,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2500.000000000001,160,1,16,96
8,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2578.125,160,1,16,95
9,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2583.333333333333,150,1,15,89
10,0.0009765625,0.0009756088256835938,2.0,0.0,0.0009765625,0.0009756088256835938,2.0,0.0,0.0009765625,0.0009756088256835938,2.0,0.0,2604.166666666667,120,1,12,71
11,0.2646484375,0.2239065170288086,2.0,0.0,0.2646484375,0.2239065170288086,2.0,0.0,0.2646484375,0.2239065170288086,2.0,0.0,2625.0000000000005,100,1,10,59
12,1.373046875,0.4487266540527344,2.0,0.0,1.373046875,0.4487266540527344,2.0,0.0,1.373046875,0.4487266540527344,2.0,0.0,2656.2500000000005,160,1,16,94
13,1.6669921875,0.22797298431396484,2.0,0.0,1.6669921875,0.22797298431396484,2.0,0.0,1.6669921875,0.22797298431396484,2.0,0.0,2666.6666666666665,150,1,15,88
14,1.9990234375,0.0009756088256835938,2.0,0.0,1.9990234375,0.0009756088256835938,2.0,0.0,1.9990234375,0.0009756088256835938,2.0,0.0,2692.3076923076924,130,1,13,76
15,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2708.333333333333,120,1,12,70
16,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2734.3750000000005,160,1,16,93
17,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2750.0,150,1,15,87
18,2.0498046875,0.047324180603027344,2.0,0.0,2.0498046875,0.047324180603027344,2.0,0.0,2.0498046875,0.047324180603027344,2.0,0.0,2767.857142857143,140,1,14,81
19,2.4140625,0.24261474609375,2.0703125,0.07708740234375,2.4140625,0.24261474609375,2.0654296875,0.061148643493652344,2.4140625,0.24261474609375,2.0751953125,0.10665035247802734,2788.4615384615386,130,1,13,75
20,3.0947265625,0.6052846908569336,2.8134765625,1.4212636947631836,2.94921875,0.3646087646484375,2.427734375,0.2564964294433594,3.240234375,1.0946311950683594,3.154296875,3.5230674743652344,2812.5000000000005,160,1,16,92
21,4.234375,1.464599609375,4.20703125,2.8419036865234375,3.6640625,0.88714599609375,2.9296875,0.62200927734375,4.8046875,2.57122802734375,5.2431640625,6.131300926208496,2833.333333333334,150,1,15,86
