,theta mu pop rise,theta var pop rise,theta mu pop fall,theta var pop fall,theta mu first rise,theta var first rise,theta mu first fall,theta var first fall,theta mu last rise,theta var last rise,theta mu last fall,theta var last fall,theta delay (ps),m,n,c,ps_bumps
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2222.2222222222213,90,1,9,56
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2250.0000000000005,100,1,10,62
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2272.727272727273,110,1,11,68
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2291.6666666666674,120,1,12,74
4,0.0,0.0,0.138671875,0.11944198608398438,0.0,0.0,0.138671875,0.11944198608398438,0.0,0.0,0.138671875,0.11944198608398438,2321.428571428572,70,1,7,43
5,0.0,0.0,0.3994140625,0.2398824691772461,0.0,0.0,0.3994140625,0.2398824691772461,0.0,0.0,0.3994140625,0.2398824691772461,2343.750000000001,80,1,8,49
6,0.0,0.0,0.615234375,0.23672103881835938,0.0,0.0,0.615234375,0.23672103881835938,0.0,0.0,0.615234375,0.23672103881835938,2361.1111111111113,90,1,9,55
7,0.0,0.0,1.15234375,0.1330413818359375,0.0,0.0,1.15234375,0.1330413818359375,0.0,0.0,1.15234375,0.1330413818359375,2375.0,100,1,10,61
8,0.0,0.0,1.3037109375,0.2114706039428711,0.0,0.0,1.3037109375,0.2114706039428711,0.0,0.0,1.3037109375,0.2114706039428711,2386.3636363636365,110,1,11,67
9,0.0,0.0,1.5517578125,0.24732112884521484,0.0,0.0,1.5517578125,0.24732112884521484,0.0,0.0,1.5517578125,0.24732112884521484,2395.833333333334,120,1,12,73
10,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2500.000000000001,120,1,12,72
11,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2604.166666666667,120,1,12,71
12,0.025390625,0.024745941162109375,2.0,0.0,0.025390625,0.024745941162109375,2.0,0.0,0.025390625,0.024745941162109375,2.0,0.0,2613.636363636364,110,1,11,65
13,0.1708984375,0.1416921615600586,2.0,0.0,0.1708984375,0.1416921615600586,2.0,0.0,0.1708984375,0.1416921615600586,2.0,0.0,2625.0000000000005,100,1,10,59
14,0.935546875,0.4372520446777344,2.0,0.0,0.935546875,0.4372520446777344,2.0,0.0,0.935546875,0.4372520446777344,2.0,0.0,2638.8888888888887,90,1,9,53
15,0.9853515625,0.4480276107788086,2.0,0.0,0.9853515625,0.4480276107788086,2.0,0.0,0.9853515625,0.4480276107788086,2.0,0.0,2656.2500000000005,80,1,8,47
16,1.99609375,0.0038909912109375,2.0,0.0,1.99609375,0.0038909912109375,2.0,0.0,1.99609375,0.0038909912109375,2.0,0.0,2678.5714285714294,70,1,7,41
17,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2708.333333333333,120,1,12,70
18,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2727.2727272727275,110,1,11,64
19,2.03125,0.0302734375,2.0,0.0,2.03125,0.0302734375,2.0,0.0,2.03125,0.0302734375,2.0,0.0,2750.0,100,1,10,58
20,2.21484375,0.1686859130859375,2.013671875,0.013484954833984375,2.21484375,0.1686859130859375,2.013671875,0.013484954833984375,2.21484375,0.1686859130859375,2.013671875,0.013484954833984375,2777.7777777777783,90,1,9,52
21,3.5458984375,0.9764089584350586,3.1533203125,1.8778600692749023,3.251953125,0.4990196228027344,2.560546875,0.2990684509277344,3.83984375,1.8688812255859375,3.6640625,4.64495849609375,2812.5000000000005,120,1,12,69
22,4.748046875,1.7568321228027344,4.8212890625,2.646773338317871,4.05078125,1.0052337646484375,3.193359375,0.7360496520996094,5.4453125,3.09075927734375,6.056640625,5.268276214599609,2840.909090909091,110,1,11,63
23,6.1884765625,1.7388906478881836,6.494140625,1.7128562927246094,5.16015625,2.1852874755859375,4.484375,3.226318359375,7.216796875,1.9803428649902344,7.8037109375,0.8335409164428711,2857.142857142857,70,1,7,40
24,7.40625,1.5205078125,7.44921875,1.4095306396484375,6.451171875,3.3433189392089844,5.6396484375,5.072295188903809,8.361328125,0.8850669860839844,8.4111328125,0.29874324798583984,2875.0,100,1,10,57
25,9.1201171875,0.25607967376708984,9.0908203125,0.44975948333740234,9.05859375,0.5336761474609375,8.806640625,1.9176902770996094,9.181640625,0.14864730834960938,9.1982421875,0.23511409759521484,2916.6666666666674,120,1,12,68
26,9.9443359375,0.1502218246459961,10.162109375,0.4073143005371094,9.943359375,0.14718246459960938,9.8818359375,0.1217794418334961,9.9453125,0.15521240234375,10.7138671875,2.13980770111084,2954.5454545454545,110,1,11,62
27,10.7646484375,0.6721487045288086,11.6201171875,2.13010311126709,10.5244140625,0.2494039535522461,10.400390625,0.3572654724121094,10.9990234375,1.4423818588256836,13.2763671875,6.67459774017334,2968.7500000000005,80,1,8,45
28,12.0849609375,1.325789451599121,13.7744140625,5.791884422302246,10.958984375,0.039333343505859375,11.2939453125,2.1977758407592773,12.90625,2.8115234375,16.7451171875,18.16062068939209,3000.0000000000005,100,1,10,56
