,delta mu fall bg,delta mu rise bg,delta mu fall target,delta mu rise target,diff mu rise,diff mu fall,var fall bg,var rise bg,var fall target,var rise target,diff var rise,diff var fall,phi delay (ps)
10137,-4.47802734375,46.310546875,-4.24560546875,46.6982421875,0.3876953125,0.232421875,16.82137680053711,11.546138763427734,17.608016967773438,11.281012535095215,-0.26512622833251953,0.7866401672363281,78229.167
10138,-3.60986328125,47.16796875,-4.29345703125,46.5068359375,-0.6611328125,-0.68359375,17.982481956481934,10.376083374023438,17.408133506774902,11.507765769958496,1.1316823959350586,-0.5743484497070312,78235.29400000001
10139,-4.05029296875,46.6630859375,-4.12255859375,46.640625,-0.0224609375,-0.072265625,17.581771850585938,10.967543601989746,17.056331634521484,10.726318359375,-0.2412252426147461,-0.5254402160644531,78240.74100000001
10140,-3.27783203125,46.556640625,-2.43701171875,47.0546875,0.498046875,0.8408203125,16.649008750915527,11.02608871459961,17.898193359375,10.49896240234375,-0.5271263122558594,1.2491846084594727,78250.0
10141,-2.80322265625,46.8642578125,-2.98095703125,46.7255859375,-0.138671875,-0.177734375,17.652113914489746,10.855597496032715,17.537161827087402,10.816298484802246,-0.03929901123046875,-0.11495208740234375,78260.87
10142,-2.95068359375,46.9423828125,-3.07275390625,46.572265625,-0.3701171875,-0.1220703125,17.870357513427734,10.61093807220459,17.39389705657959,11.36001205444336,0.7490739822387695,-0.47646045684814453,78269.231
10143,-2.48193359375,47.0712890625,-3.15869140625,46.703125,-0.3681640625,-0.6767578125,17.340206146240234,10.661910057067871,17.616843223571777,11.427490234375,0.7655801773071289,0.27663707733154297,78275.86200000001
10144,-3.19580078125,45.6337890625,-3.13916015625,45.6552734375,0.021484375,0.056640625,17.418776512145996,12.827803611755371,17.369139671325684,13.071593284606934,0.2437896728515625,-0.0496368408203125,78281.25
10145,-4.01611328125,46.642578125,-4.27294921875,46.6083984375,-0.0341796875,-0.2568359375,16.894774436950684,10.801937103271484,17.33001708984375,10.730437278747559,-0.07149982452392578,0.4352426528930664,78289.474
10146,-2.84912109375,45.73828125,-2.73583984375,45.7490234375,0.0107421875,0.11328125,17.28835678100586,12.646347045898438,17.910762786865234,12.494627952575684,-0.1517190933227539,0.622406005859375,78295.455
10147,-3.00439453125,45.45703125,-3.22314453125,45.4873046875,0.0302734375,-0.21875,16.917120933532715,13.427841186523438,17.163031578063965,13.058432579040527,-0.36940860748291016,0.24591064453125,78300.00000000001
10148,-3.30615234375,46.447265625,-2.64208984375,46.955078125,0.5078125,0.6640625,16.90212631225586,11.16323471069336,18.300777435302734,10.898372650146484,-0.264862060546875,1.398651123046875,78303.57100000001
10149,-2.75048828125,46.6240234375,-3.06591796875,46.4892578125,-0.134765625,-0.3154296875,17.12942409515381,11.156493186950684,17.185897827148438,11.001837730407715,-0.15465545654296875,0.056473731994628906,78306.452
10150,-2.86474609375,46.7431640625,-2.87744140625,46.65234375,-0.0908203125,-0.0126953125,17.92611312866211,11.005324363708496,17.579428672790527,10.879135131835938,-0.1261892318725586,-0.34668445587158203,78333.333
10151,-3.03369140625,45.7939453125,-2.95654296875,45.8662109375,0.072265625,0.0771484375,16.787497520446777,12.196799278259277,16.817855834960938,12.709639549255371,0.5128402709960938,0.030358314514160156,78359.375
10152,-2.82373046875,46.7509765625,-3.16748046875,46.3818359375,-0.369140625,-0.34375,17.237777709960938,10.505370140075684,17.579330444335938,11.540724754333496,1.0353546142578125,0.341552734375,78362.069
10153,-3.88037109375,46.8974609375,-4.29345703125,46.5537109375,-0.34375,-0.4130859375,17.34463119506836,10.439681053161621,16.863211631774902,10.577193260192871,0.13751220703125,-0.48141956329345703,78365.385
10154,-3.42529296875,46.8115234375,-2.97314453125,46.798828125,-0.0126953125,0.4521484375,17.051498413085938,10.283812522888184,17.263129234313965,10.430233001708984,0.14642047882080078,0.21163082122802734,78369.565
10155,-3.72412109375,46.92578125,-4.15478515625,46.5830078125,-0.3427734375,-0.4306640625,18.02029037475586,10.361679077148438,17.55447292327881,11.051703453063965,0.6900243759155273,-0.4658174514770508,78375.0
10156,-4.07861328125,46.5595703125,-4.23388671875,46.6572265625,0.09765625,-0.1552734375,18.351683616638184,10.640982627868652,16.7998046875,10.697936058044434,0.05695343017578125,-1.5518789291381836,78382.353
10157,-2.91259765625,46.623046875,-2.59228515625,47.0078125,0.384765625,0.3203125,17.37986660003662,10.971187591552734,17.53188991546631,10.58001708984375,-0.3911705017089844,0.1520233154296875,78387.09700000001
10158,-2.91748046875,45.576171875,-3.34521484375,45.716796875,0.140625,-0.427734375,17.489486694335938,13.257869720458984,17.028255462646484,12.814327239990234,-0.44354248046875,-0.4612312316894531,78392.857
10159,-2.84228515625,46.6162109375,-3.17333984375,46.5703125,-0.0458984375,-0.3310546875,17.30581569671631,10.900557518005371,17.168819427490234,10.73333740234375,-0.1672201156616211,-0.13699626922607422,78400.0
10160,-3.28173828125,45.7021484375,-2.68310546875,46.080078125,0.3779296875,0.5986328125,17.30807399749756,13.101714134216309,17.748153686523438,12.597103118896484,-0.5046110153198242,0.4400796890258789,78409.091
10161,-2.90576171875,46.7509765625,-2.67724609375,47.1025390625,0.3515625,0.228515625,16.802490234375,10.614745140075684,18.05916976928711,10.228743553161621,-0.3860015869140625,1.2566795349121094,78416.667
10162,-2.91552734375,45.814453125,-2.56884765625,46.3349609375,0.5205078125,0.3466796875,17.19759750366211,12.614009857177734,17.58378505706787,12.255965232849121,-0.3580446243286133,0.3861875534057617,78421.053
10163,-2.81982421875,45.8564453125,-2.36865234375,46.13671875,0.2802734375,0.451171875,17.47747802734375,12.605368614196777,17.79543685913086,12.368026733398438,-0.23734188079833984,0.3179588317871094,78425.92599999999
10164,-2.91748046875,46.81640625,-3.07568359375,46.576171875,-0.240234375,-0.158203125,17.430892944335938,10.304183959960938,17.558345794677734,11.425838470458984,1.1216545104980469,0.12745285034179688,78437.5
10165,-2.81884765625,46.7177734375,-2.98583984375,46.693359375,-0.0244140625,-0.1669921875,17.55497646331787,10.808043479919434,17.013301849365234,11.01925277709961,0.21120929718017578,-0.5416746139526367,78448.276
10166,-3.68017578125,46.8720703125,-3.69775390625,46.83984375,-0.0322265625,-0.017578125,17.14976406097412,10.295157432556152,17.37656307220459,10.534896850585938,0.23973941802978516,0.22679901123046875,78452.381
