,theta mu pop rise,theta var pop rise,theta mu pop fall,theta var pop fall,theta mu first rise,theta var first rise,theta mu first fall,theta var first fall,theta mu last rise,theta var last rise,theta mu last fall,theta var last fall,theta delay (ps),m,n,c,ps_bumps
0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2211.538461538458,52,2,13,809
1,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2222.22222222222,36,2,9,560
2,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2232.1428571428564,56,2,14,871
3,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2249.999999999997,60,2,15,933
4,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2265.625000000005,64,2,16,995
5,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2272.7272727272707,44,2,11,684
6,0.0,0.0,127.7666015625,0.17909850775904204,0.0,0.0,0.2333984375,0.1789236068725586,0.0,0.0,0.2333984375,0.1789236068725586,2291.6666666666624,48,2,12,746
7,0.0,0.0,127.6328125,0.23258797653958943,0.0,0.0,0.3671875,0.23236083984375,0.0,0.0,0.3671875,0.23236083984375,2307.692307692306,52,2,13,808
8,0.0,0.0,127.2177734375,0.19006502779814272,0.0,0.0,0.7822265625,0.1898794174194336,0.0,0.0,0.7822265625,0.1898794174194336,2321.428571428572,56,2,14,870
9,0.0,0.0,126.8408203125,0.133972346957478,0.0,0.0,1.1591796875,0.13384151458740234,0.0,0.0,1.1591796875,0.13384151458740234,2333.333333333341,60,2,15,932
10,0.0,0.0,126.515625,0.25,0.0,0.0,1.484375,0.249755859375,0.0,0.0,1.484375,0.249755859375,2343.750000000004,64,2,16,994
11,0.0,0.0,126.708984375,0.20652721774193547,0.0,0.0,1.291015625,0.20632553100585938,0.0,0.0,1.291015625,0.20632553100585938,2361.1111111111177,36,2,9,559
12,0.0,0.0,126.099609375,0.08977501832844574,0.0,0.0,1.900390625,0.08968734741210938,0.0,0.0,1.900390625,0.08968734741210938,2375.0000000000064,40,2,10,621
13,0.0,0.0,126.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2386.3636363636365,44,2,11,683
14,0.0,0.0,126.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2395.833333333333,48,2,12,745
15,0.0,0.0,126.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2403.8461538461543,52,2,13,807
16,0.0,0.0,126.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2416.666666666672,60,2,15,931
17,0.0,0.0,126.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2421.875000000003,64,2,16,993
18,0.0,0.0,126.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2500.000000000003,64,2,16,992
